empty_slots,free_bikes,latitude,longitude,name,timestamp,ebikes,extra.has_ebikes,noOf_normal_bikes,extra.renting,returning,total_slots,key
15,21,49.262487,-123.114397,10th & Cambie,2024-03-11T17:04:43.889000Z,4,True,17,True,True,36,0
10,6,49.274566,-123.121817,Yaletown-Roundhouse Station,2024-03-11T17:04:43.856000Z,1,True,5,True,True,16,1
1,25,49.279764,-123.110154,Dunsmuir & Beatty,2024-03-11T17:04:43.857000Z,7,True,18,True,True,26,2
4,12,49.260599,-123.113504,12th & Yukon (City Hall),2024-03-11T17:04:43.880000Z,0,True,12,True,True,16,3
7,9,49.264215,-123.117772,8th & Ash,2024-03-11T17:04:43.934000Z,2,True,7,True,True,16,4
1,13,49.270877,-123.115103,Spyglass & Seawall,2024-03-11T17:04:43.938000Z,0,True,13,True,True,14,5
8,6,49.26893,-123.11813,Stamps Landing,2024-03-11T17:04:43.996000Z,1,True,5,True,True,14,6
17,3,49.271721,-123.104207,Ontario & Seawall,2024-03-11T17:04:43.984000Z,1,True,2,True,True,20,7
26,0,49.287214,-123.11287,Canada Place,2024-03-11T17:04:43.981000Z,0,True,0,False,False,26,8
16,4,49.282409,-123.118541,Granville & Georgia,2024-03-11T17:04:43.980000Z,2,True,2,True,True,20,9
2,24,49.287097,-123.118551,Pender & Burrard,2024-03-11T17:04:43.979000Z,4,True,20,True,True,26,10
8,14,49.273471,-123.118016,Marinaside & Davie,2024-03-11T17:04:43.978000Z,1,True,13,True,True,22,11
10,20,49.282758,-123.122092,Robson & Hornby,2024-03-11T17:04:44.015000Z,9,True,11,True,True,30,12
0,23,49.28602,-123.116624,Hornby & Pender,2024-03-11T17:04:44.069000Z,7,True,16,True,True,22,13
11,9,49.279739,-123.116251,Homer & Robson (Vancouver Public Library),2024-03-11T17:04:44.071000Z,4,True,5,True,True,20,14
4,10,49.275679,-123.116963,Beatty & Nelson,2024-03-11T17:04:44.066000Z,0,True,10,True,True,14,15
14,8,49.282759,-123.106955,Abbott & Cordova,2024-03-11T17:04:43.442000Z,1,True,7,True,True,22,16
7,11,49.288444,-123.139203,Comox & Denman,2024-03-11T17:04:43.454000Z,0,True,11,True,True,18,17
3,11,49.289124,-123.12196,Cordova & Bute,2024-03-11T17:04:43.426000Z,5,True,6,True,True,14,18
14,4,49.28062,-123.12482,Hornby & Nelson,2024-03-11T17:04:43.427000Z,3,True,1,True,True,18,19
6,9,49.279938,-123.127478,Helmcken & Burrard,2024-03-11T17:04:43.421000Z,3,True,6,True,True,15,20
13,1,49.273663,-123.127075,Pacific & Richards,2024-03-11T17:04:43.499000Z,0,True,1,True,True,14,21
11,3,49.28972,-123.144028,Chilco & Beach,2024-03-11T17:04:43.501000Z,0,True,3,True,True,14,22
10,2,49.285253,-123.134356,Comox & Broughton,2024-03-11T17:04:43.479000Z,0,True,2,True,True,12,23
16,5,49.283343,-123.131099,Bute & Comox,2024-03-11T17:04:43.558000Z,1,True,4,True,True,22,24
19,13,49.284605,-123.108662,Cambie & Water,2024-03-11T17:04:43.557000Z,1,True,12,True,True,32,25
8,20,49.279821,-123.10802,Keefer & Abbott,2024-03-11T17:04:43.549000Z,0,True,20,True,True,28,26
1,15,49.278004,-123.105664,Expo & Carrall,2024-03-11T17:04:43.561000Z,0,True,15,True,True,16,27
3,11,49.279342,-123.101822,Keefer & Columbia,2024-03-11T17:04:43.560000Z,2,True,9,True,True,14,28
19,7,49.273833,-123.114373,Marinaside & Cooperage,2024-03-11T17:04:43.559000Z,1,True,6,True,True,26,29
16,10,49.28526,-123.141809,Bidwell & Burnaby,2024-03-11T17:04:43.828000Z,5,True,5,True,True,26,30
5,21,49.281506,-123.120101,Robson & Granville,2024-03-11T17:04:43.816000Z,3,True,18,True,True,26,31
1,13,49.276115,-123.114496,Expo & Smithe,2024-03-11T17:04:43.792000Z,2,True,11,True,True,14,32
9,13,49.272827,-123.147744,Cypress & Cornwall,2024-03-11T17:04:43.793000Z,3,True,10,True,True,22,33
4,23,49.269361,-123.13782,Anderson & 2nd,2024-03-11T17:04:43.790000Z,6,True,17,True,True,28,34
2,12,49.2653,-123.13811,7th & Granville,2024-03-11T17:04:43.854000Z,3,True,9,True,True,14,35
6,8,49.262598,-123.138921,10th & Granville,2024-03-11T17:04:43.951000Z,2,True,6,True,True,14,36
7,7,49.25894,-123.139272,14th & Granville,2024-03-11T17:04:43.950000Z,2,True,5,True,True,14,37
13,1,49.258763,-123.115392,14th & Cambie,2024-03-11T17:04:43.956000Z,0,True,1,True,True,14,38
9,11,49.266724,-123.104824,Ontario & 5th,2024-03-11T17:04:43.953000Z,1,True,10,True,True,20,39
14,4,49.262141,-123.101961,10th & Main,2024-03-11T17:04:43.958000Z,0,True,4,True,True,18,40
8,10,49.268269,-123.147885,Cypress & 4th,2024-03-11T17:04:43.960000Z,0,True,10,True,True,18,41
18,10,49.275717,-123.142564,Vanier Park,2024-03-11T17:04:43.959000Z,0,True,10,True,True,28,42
4,16,49.276436,-123.11877,Nelson & Mainland,2024-03-11T17:04:43.976000Z,5,True,11,True,True,20,43
7,11,49.277844,-123.120942,Nelson & Richards,2024-03-11T17:04:43.968000Z,2,True,9,True,True,18,44
12,5,49.265089,-123.119425,7th & Heather,2024-03-11T17:04:44.057000Z,0,True,5,True,True,18,45
18,2,49.28026,-123.135244,Harwood & Bute,2024-03-11T17:04:44.039000Z,0,True,2,True,True,20,46
13,5,49.291909,-123.140713,Chilco & Barclay,2024-03-11T17:04:44.128000Z,1,True,4,True,True,18,47
6,10,49.293257,-123.138563,Chilco & Robson,2024-03-11T17:04:44.121000Z,3,True,7,True,True,16,48
8,10,49.288011,-123.132006,Nicola & Robson,2024-03-11T17:04:44.119000Z,3,True,7,True,True,18,49
2,16,49.28117,-123.104419,Carrall & Hastings,2024-03-11T17:04:44.118000Z,6,True,10,True,True,18,50
28,0,49.283227,-123.120523,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,2024-03-11T17:04:44.117000Z,0,True,0,False,False,28,51
16,3,49.299292,-123.130281,Stanley Park - Vancouver Aquarium,2024-03-11T17:04:43.657000Z,1,True,2,True,True,16,52
4,12,49.29534,-123.150433,Stanley Park - Second Beach North,2024-03-11T17:04:43.661000Z,1,True,11,True,True,16,53
2,16,49.294318,-123.148808,Stanley Park - Second Beach South,2024-03-11T17:04:43.650000Z,2,True,14,True,True,18,54
6,14,49.298657,-123.121176,Stanley Park - Totem Poles,2024-03-11T17:04:43.649000Z,3,True,11,True,True,20,55
13,3,49.259183,-123.120126,Heather & 14th,2024-03-11T17:04:43.656000Z,2,True,1,True,True,16,56
10,6,49.263837,-123.105173,8th & Ontario,2024-03-11T17:04:43.650000Z,2,True,4,True,True,16,57
19,7,49.270721,-123.146175,1st & Chestnut,2024-03-11T17:04:43.644000Z,1,True,6,True,True,26,58
11,5,49.265605,-123.152566,7th & Arbutus,2024-03-11T17:04:43.642000Z,0,True,5,True,True,16,59
12,4,49.267222,-123.153157,5th & Arbutus,2024-03-11T17:04:43.538000Z,4,True,0,True,True,16,60
18,7,49.262255,-123.126217,10th & Oak,2024-03-11T17:04:43.536000Z,3,True,4,True,True,30,61
35,4,49.257654,-123.153212,Arbutus & 16th,2024-03-11T17:04:43.537000Z,0,True,4,True,True,40,62
5,7,49.25919,-123.148268,Cypress & 14th,2024-03-11T17:04:43.540000Z,0,True,7,True,True,12,63
6,6,49.25741,-123.148531,Cypress & 16th,2024-03-11T17:04:43.540000Z,2,True,4,True,True,12,64
3,9,49.285953,-123.124066,Georgia & Thurlow,2024-03-11T17:04:43.489000Z,6,True,3,True,True,12,65
12,4,49.280881,-123.130672,Thurlow & Pendrell,2024-03-11T17:04:43.480000Z,2,True,2,True,True,16,66
8,4,49.256845,-123.120071,Heather & 16th,2024-03-11T17:04:43.455000Z,0,True,4,True,True,12,67
10,6,49.25849,-123.104799,14th & Ontario,2024-03-11T17:04:43.423000Z,6,True,0,True,True,16,68
