empty_slots,free_bikes,latitude,longitude,name,timestamp,ebikes,extra.has_ebikes,noOf_normal_bikes,extra.renting,returning,total_slots,key,POI,rating_avg_bar,count_bar,rating_avg_rest,count_rest
15,21,49.262487,-123.114397,10th & Cambie,2024-03-11T17:04:43.889000Z,4,True,17,True,True,36,0,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.811111111111111,9.0,3.909090909090909,11.0
10,6,49.274566,-123.121817,Yaletown-Roundhouse Station,2024-03-11T17:04:43.856000Z,1,True,5,True,True,16,1,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.983333333333333,12.0,4.1125,8.0
1,25,49.279764,-123.110154,Dunsmuir & Beatty,2024-03-11T17:04:43.857000Z,7,True,18,True,True,26,2,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.1571428571428575,14.0,4.233333333333333,6.0
4,12,49.260599,-123.113504,12th & Yukon (City Hall),2024-03-11T17:04:43.880000Z,0,True,12,True,True,16,3,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.011111111111111,9.0,3.7181818181818183,11.0
7,9,49.264215,-123.117772,8th & Ash,2024-03-11T17:04:43.934000Z,2,True,7,True,True,16,4,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.442857142857143,7.0,3.853846153846154,13.0
1,13,49.270877,-123.115103,Spyglass & Seawall,2024-03-11T17:04:43.938000Z,0,True,13,True,True,14,5,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.9545454545454546,11.0,4.166666666666667,9.0
8,6,49.26893,-123.11813,Stamps Landing,2024-03-11T17:04:43.996000Z,1,True,5,True,True,14,6,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.908333333333333,12.0,4.15,8.0
17,3,49.271721,-123.104207,Ontario & Seawall,2024-03-11T17:04:43.984000Z,1,True,2,True,True,20,7,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.853333333333333,15.0,3.8599999999999994,5.0
26,0,49.287214,-123.11287,Canada Place,2024-03-11T17:04:43.981000Z,0,True,0,False,False,26,8,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.15,16.0,4.275,4.0
16,4,49.282409,-123.118541,Granville & Georgia,2024-03-11T17:04:43.980000Z,2,True,2,True,True,20,9,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.0928571428571425,14.0,4.05,6.0
2,24,49.287097,-123.118551,Pender & Burrard,2024-03-11T17:04:43.979000Z,4,True,20,True,True,26,10,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.09375,16.0,4.1,4.0
8,14,49.273471,-123.118016,Marinaside & Davie,2024-03-11T17:04:43.978000Z,1,True,13,True,True,22,11,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.008333333333334,12.0,4.1125,8.0
10,20,49.282758,-123.122092,Robson & Hornby,2024-03-11T17:04:44.015000Z,9,True,11,True,True,30,12,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.1,14.0,4.033333333333333,6.0
0,23,49.28602,-123.116624,Hornby & Pender,2024-03-11T17:04:44.069000Z,7,True,16,True,True,22,13,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.070588235294117,17.0,4.3,3.0
11,9,49.279739,-123.116251,Homer & Robson (Vancouver Public Library),2024-03-11T17:04:44.071000Z,4,True,5,True,True,20,14,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.061538461538461,13.0,4.1,7.0
4,10,49.275679,-123.116963,Beatty & Nelson,2024-03-11T17:04:44.066000Z,0,True,10,True,True,14,15,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.0,11.0,4.144444444444444,9.0
14,8,49.282759,-123.106955,Abbott & Cordova,2024-03-11T17:04:43.442000Z,1,True,7,True,True,22,16,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.13125,16.0,4.074999999999999,4.0
7,11,49.288444,-123.139203,Comox & Denman,2024-03-11T17:04:43.454000Z,0,True,11,True,True,18,17,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.136363636363637,11.0,4.288888888888889,9.0
3,11,49.289124,-123.12196,Cordova & Bute,2024-03-11T17:04:43.426000Z,5,True,6,True,True,14,18,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.173333333333333,15.0,4.12,5.0
14,4,49.28062,-123.12482,Hornby & Nelson,2024-03-11T17:04:43.427000Z,3,True,1,True,True,18,19,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.030769230769231,13.0,4.0285714285714285,7.0
6,9,49.279938,-123.127478,Helmcken & Burrard,2024-03-11T17:04:43.421000Z,3,True,6,True,True,15,20,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.064285714285714,14.0,3.983333333333333,6.0
13,1,49.273663,-123.127075,Pacific & Richards,2024-03-11T17:04:43.499000Z,0,True,1,True,True,14,21,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.027272727272727,11.0,4.0,9.0
11,3,49.28972,-123.144028,Chilco & Beach,2024-03-11T17:04:43.501000Z,0,True,3,True,True,14,22,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.12,10.0,4.2,10.0
10,2,49.285253,-123.134356,Comox & Broughton,2024-03-11T17:04:43.479000Z,0,True,2,True,True,12,23,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.25,10.0,4.15,10.0
16,5,49.283343,-123.131099,Bute & Comox,2024-03-11T17:04:43.558000Z,1,True,4,True,True,22,24,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.2,11.0,4.066666666666666,9.0
19,13,49.284605,-123.108662,Cambie & Water,2024-03-11T17:04:43.557000Z,1,True,12,True,True,32,25,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.14375,16.0,4.074999999999999,4.0
8,20,49.279821,-123.10802,Keefer & Abbott,2024-03-11T17:04:43.549000Z,0,True,20,True,True,28,26,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.166666666666667,15.0,4.2,5.0
1,15,49.278004,-123.105664,Expo & Carrall,2024-03-11T17:04:43.561000Z,0,True,15,True,True,16,27,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.192857142857143,14.0,4.183333333333334,6.0
3,11,49.279342,-123.101822,Keefer & Columbia,2024-03-11T17:04:43.560000Z,2,True,9,True,True,14,28,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.06875,16.0,4.0249999999999995,4.0
19,7,49.273833,-123.114373,Marinaside & Cooperage,2024-03-11T17:04:43.559000Z,1,True,6,True,True,26,29,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.975,12.0,4.175,8.0
16,10,49.28526,-123.141809,Bidwell & Burnaby,2024-03-11T17:04:43.828000Z,5,True,5,True,True,26,30,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.163636363636363,11.0,4.177777777777778,9.0
5,21,49.281506,-123.120101,Robson & Granville,2024-03-11T17:04:43.816000Z,3,True,18,True,True,26,31,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.1,15.0,4.04,5.0
1,13,49.276115,-123.114496,Expo & Smithe,2024-03-11T17:04:43.792000Z,2,True,11,True,True,14,32,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",4.075,12.0,4.175,8.0
