name,distance,street,latitude,longitude,categories
Peaceful Restaurant,136,532 Broadway W,49.263051,-123.116024,Dim Sum Restaurant
Minami Restaurant,110,1118 Mainland St,49.275269,-123.120797,Sushi Restaurant
Fanny Bay Oyster Bar & Shellfish Market,334,762 Cambie St,49.278557,-123.114183,Seafood Restaurant
Peaceful Restaurant,331,532 Broadway W,49.263051,-123.116024,Dim Sum Restaurant
Sushi Dragon Japanese Restaurant,127,614W Broadway W,49.263134,-123.11814,Sushi Restaurant
TWB - the Wine Bar,403,1167 Marinaside Cres,49.273338,-123.119497,"Wine Bar,Restaurant"
TWB - the Wine Bar,481,1167 Marinaside Cres,49.273338,-123.119497,"Wine Bar,Restaurant"
Bao Down Gastropub + Raw Bar,338,115 2nd Ave W,49.2695,-123.107408,"Bar,Asian Restaurant"
Five Sails Restaurant,132,999 Canada Pl,49.288475,-123.112838,"Financial Service,Legal Service"
Hawksworth Restaurant,125,801 Georgia St W,49.283302,-123.11938,Restaurant
Kamei Royale Japanese Restaurant,46,1066 Hastings St W,49.287359,-123.118827,"Sushi Restaurant,Seafood Restaurant"
TWB - the Wine Bar,105,1167 Marinaside Cres,49.273338,-123.119497,"Wine Bar,Restaurant"
Bacchus Restaurant & Lounge,65,845 Hornby St,49.282377,-123.122864,French Restaurant
The Keg Steakhouse + Bar,287,688 Dunsmuir St,49.283447,-123.116466,Restaurant
Fanny Bay Oyster Bar & Shellfish Market,183,762 Cambie St,49.278557,-123.114183,Seafood Restaurant
The Keg Steakhouse + Bar - Yaletown,208,1011 Mainland St,49.27671,-123.11946,Restaurant
La Casita Mexican Restaurant,17,101 Cordova St W,49.283075,-123.106942,"American Restaurant,Burrito Restaurant"
Olympia Restaurant,119,998 Denman St,49.289408,-123.138229,"Pizzeria,Greek Restaurant"
Blink Brow Bar,175,577 Bute St,49.288111,-123.124084,Hair Salon
Le Crocodile Restaurant,228,100A90 Burrard St,49.282578,-123.125234,French Restaurant
Patterson Chinese Restaurant,149,917 Davie St,49.278816,-123.128157,Chinese Restaurant
Kaide Sushi Bar,59,1375 Richards St,49.274178,-123.127112,Sushi Restaurant
Sylvia's Bar,162,1154 Gilford St,49.288559,-123.142618,Bar
Miko Sushi Japanese Restaurant,452,1335 Robson St,49.287422,-123.128893,Sushi Restaurant
Sushi Bar Maumi,289,1226 Bute St,49.281457,-123.133655,Sushi Restaurant
